"CUST_ID","CUST_GENDER","CUST_YEAR_OF_BIRTH","CUST_MARITAL_STATUS","CUST_INCOME_LEVEL","CUST_CREDIT_LIMIT"
"49671","M","1976","married","&quot;G: 130,000 - 149,999&quot;","1500"
"3228","M","1964","","&quot;G: 130,000 - 149,999&quot;","7000"
"6783","M","1942","single","&quot;G: 130,000 - 149,999&quot;","11000"
"10338","M","1977","married","&quot;G: 130,000 - 149,999&quot;","1500"
"13894","M","1949","","&quot;G: 130,000 - 149,999&quot;","9000"
"17449","M","1950","single","&quot;G: 130,000 - 149,999&quot;","9000"
"21005","M","1946","married","&quot;G: 130,000 - 149,999&quot;","3000"
"24561","M","1978","","&quot;G: 130,000 - 149,999&quot;","7000"
"28116","M","1949","single","&quot;G: 130,000 - 149,999&quot;","11000"
"31671","M","1951","married","&quot;G: 130,000 - 149,999&quot;","1500"
"35227","M","1948","","&quot;G: 130,000 - 149,999&quot;","9000"
"36117","M","1954","","&quot;K: 250,000 - 299,999&quot;","15000"
"39672","M","1975","married","&quot;K: 250,000 - 299,999&quot;","11000"
"43228","M","1957","married","&quot;K: 250,000 - 299,999&quot;","7000"
"25470","M","1966","single","&quot;K: 250,000 - 299,999&quot;","15000"
"47006","M","1985","","&quot;K: 250,000 - 299,999&quot;","11000"
"50561","M","1960","married","&quot;K: 250,000 - 299,999&quot;","7000"
"4117","M","1972","single","&quot;K: 250,000 - 299,999&quot;","15000"
"7673","M","1988","","&quot;K: 250,000 - 299,999&quot;","11000"
"11228","M","1956","married","&quot;K: 250,000 - 299,999&quot;","7000"
"14784","M","1957","","&quot;K: 250,000 - 299,999&quot;","15000"
"18339","M","1979","married","&quot;K: 250,000 - 299,999&quot;","11000"
"12112","M","1963","married","&quot;K: 250,000 - 299,999&quot;","7000"
"21894","M","1977","married","&quot;K: 250,000 - 299,999&quot;","7000"
"25451","M","1955","","&quot;K: 250,000 - 299,999&quot;","15000"
"29006","M","1951","single","&quot;K: 250,000 - 299,999&quot;","11000"
"32561","M","1969","married","&quot;K: 250,000 - 299,999&quot;","7000"
"38784","M","1959","","&quot;K: 250,000 - 299,999&quot;","15000"
"42339","M","1964","married","&quot;K: 250,000 - 299,999&quot;","11000"
"16581","M","1986","","&quot;K: 250,000 - 299,999&quot;","7000"
"46117","M","1961","single","&quot;K: 250,000 - 299,999&quot;","15000"
"49672","M","1963","married","&quot;K: 250,000 - 299,999&quot;","11000"
"3229","M","1958","married","&quot;K: 250,000 - 299,999&quot;","7000"
"6784","M","1964","single","&quot;K: 250,000 - 299,999&quot;","15000"
"10339","M","1961","married","&quot;K: 250,000 - 299,999&quot;","11000"
"13895","M","1983","married","&quot;K: 250,000 - 299,999&quot;","7000"
"17450","M","1984","single","&quot;K: 250,000 - 299,999&quot;","15000"
"21006","M","1957","single","&quot;K: 250,000 - 299,999&quot;","11000"
"24562","M","1960","married","&quot;K: 250,000 - 299,999&quot;","7000"
"28117","M","1957","","&quot;K: 250,000 - 299,999&quot;","15000"
"31672","M","1950","single","&quot;K: 250,000 - 299,999&quot;","11000"
"35228","M","1952","married","&quot;K: 250,000 - 299,999&quot;","7000"
"37006","M","1953","single","&quot;K: 250,000 - 299,999&quot;","11000"
"40561","M","1959","married","&quot;K: 250,000 - 299,999&quot;","7000"
"11227","M","1966","","&quot;G: 130,000 - 149,999&quot;","7000"
"14783","M","1983","single","&quot;G: 130,000 - 149,999&quot;","9000"
